"","channel","timepoint","start_time_min","end_time_min","bpm_duration","bpm","bpm.SD","start_time_min_TEMP","temp","end_time_min_TEMP","temp.1","temp_diff","temp_mean","temp.K","testID","abt_fit","Tpeak.K","Tpeak","HRpeak"
"1","Ch1",1,5.677,5.932,15.2996940061199,86.14307369,0.1708158835,5.56666666666667,16.4,6.16666666666667,16.4,0,16.4,3.4536349507857,"test8","use",3.35289186923722,25.1,131.8304406
"2","Ch1",10,65.668,65.927,15.5396892062159,131.8304406,0.1971,59.5333333333333,25.1,60.05,25.1,0,25.1,3.35289186923722,"test8","use",3.35289186923722,25.1,131.8304406
"4","Ch1",2,11.51,11.775,15.8996820063599,88.56601784,0.176253962,11.8,17,12.2833333333333,17,0,17,3.44649319317594,"test8","use",3.35289186923722,25.1,131.8304406
"5","Ch1",3,17.498,17.757,15.5396892062159,95.31212483,0.2323527068,17.6166666666667,18,18.1666666666667,18,0,18,3.4346556757685,"test8","use",3.35289186923722,25.1,131.8304406
"6","Ch1",4,23.666,23.92,15.239695206096,105.0719117,0.2466,23.4333333333333,19.1,24.0833333333333,19.1,0,19.1,3.42172797262618,"test8","use",3.35289186923722,25.1,131.8304406
"7","Ch1",5,29.5,29.757,15.419691606168,113.7561593,0.2332,29.4833333333333,20.1,30,20.1,0,20.1,3.41005967604433,"test8","use",3.35289186923722,25.1,131.8304406
"8","Ch1",6,35.741,35.999,15.479690406192,120.8345268,0.392,35.4166666666667,21.1,36.05,21.1,0,21.1,3.39847068819031,"test8","use",3.35289186923722,25.1,131.8304406
"9","Ch1",7,41.468,41.727,15.5396892062155,125.0020881,3.9163,41.4333333333333,22.1,42.0833333333333,22.1,0,22.1,3.38696020321761,"test8","use",3.35289186923722,25.1,131.8304406
"10","Ch1",8,53.534,53.812,16.6796664066718,127.8057983,0.188,47.4333333333333,23,48,23,0,23,3.37666722944454,"test8","use",3.35289186923722,25.1,131.8304406
"11","Ch1",9,47.62,47.869,14.939701205976,122.8547029,0.2364,53.55,24.1,54.1166666666667,24.1,0,24.1,3.36417157275021,"test8","use",3.35289186923722,25.1,131.8304406
